theme,url,img,lines,author
LEADERSHIP,https://www.passiton.com/inspirational-quotes/8416-a-leader-is-one-who-knows-the-way-goes-the,https://assets.passiton.com/quotes/quote_artwork/8416/medium/20240220_tuesday_quote.jpg,"A leader is one who knows the way, goes the way, and shows the way.",<Author:0x00007f69f5c839b0>
LEADERSHIP,https://www.passiton.com/inspirational-quotes/8415-leave-nothing-for-tomorrow-which-can-be-done,https://assets.passiton.com/quotes/quote_artwork/8415/medium/20240219_monday_quote.jpg,Leave nothing for tomorrow which can be done today.,<Author:0x00007f69f5c612c0>
LOVE,https://www.passiton.com/inspirational-quotes/6256-love-and-kindness-are-never-wasted-they-always,https://assets.passiton.com/quotes/quote_artwork/6256/medium/20240216_friday_quote.jpg,Love and kindness are never wasted. They always make a difference.,<Author:0x00007f69f5cd8a00>
LOVE,https://www.passiton.com/inspirational-quotes/7444-where-there-is-love-there-is-life,https://assets.passiton.com/quotes/quote_artwork/7444/medium/20240215_thursday_quote.jpg,Where there is love there is life.,<Author:0x00007f69f5cb98d0>
LOVE,https://www.passiton.com/inspirational-quotes/7692-you-yourself-as-much-as-anybody-in-the-entire,https://assets.passiton.com/quotes/quote_artwork/7692/medium/20240214_wednesday_quote.jpg,"You yourself, as much as anybody in the entire universe deserve your love and affection.",<Author:0x00007f69f5d42130>
LOVE,https://www.passiton.com/inspirational-quotes/7171-darkness-cannot-drive-out-darkness-only-light,https://assets.passiton.com/quotes/quote_artwork/7171/medium/20240213_tuesday_quote.jpg,Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,<Author:0x00007f69f5d188d0>
LOVE,https://www.passiton.com/inspirational-quotes/6459-we-lose-ourselves-in-the-things-we-love-we,https://assets.passiton.com/quotes/quote_artwork/6459/medium/20240212_monday_quote.jpg,"We lose ourselves in the things we love. We find ourselves there, too.",<Author:0x00007f69f5cf8a80>
KINDNESS,https://www.passiton.com/inspirational-quotes/6382-ask-yourself-have-you-been-kind-today-make,https://assets.passiton.com/quotes/quote_artwork/6382/medium/20240209_friday_quote.jpg,Ask yourself: Have you been kind today? Make kindness your modus operandi and change your world. ,<Author:0x00007f69f5d823e8>
KINDNESS,https://www.passiton.com/inspirational-quotes/8067-you-can-always-always-give-something-even-if,https://assets.passiton.com/quotes/quote_artwork/8067/medium/20240208_thursday_quote.jpg,"You can always, always give something, even if it is only kindness!",<Author:0x00007f69f5d53ed0>
KINDNESS,https://www.passiton.com/inspirational-quotes/8368-you-can-be-rich-in-spirit-kindness-love-and,https://assets.passiton.com/quotes/quote_artwork/8368/medium/20240207_wednesday_quote.jpg,"You can be rich in spirit, kindness, love and all those things that you can't put a dollar sign on.",<Author:0x00007f69f5de0628>
KINDNESS,https://www.passiton.com/inspirational-quotes/4471-we-rise-by-lifting-others,https://assets.passiton.com/quotes/quote_artwork/4471/medium/20240206_tuesday_quote.jpg,We rise by lifting others.,<Author:0x00007f69f5dc0fd0>
KINDNESS,https://www.passiton.com/inspirational-quotes/8349-how-do-we-change-the-world-one-random-act-of,https://assets.passiton.com/quotes/quote_artwork/8349/medium/20240205_monday_quote.jpg,How do we change the world? One random act of kindness at a time.,<Author:0x00007f69f5e95b90>
ENCOURAGEMENT,https://www.passiton.com/inspirational-quotes/4227-inspire-and-bring-joy-to-all-those-you-know,https://assets.passiton.com/quotes/quote_artwork/4227/medium/20240202_friday_quote.jpg,Inspire and bring joy to all those you know.,<Author:0x00007f69f5e11520>
